3783;3991;4095;4095
3787;3997;4095;4095
3773;3986;4095;4095
3754;3999;4095;4095
3773;3999;4095;4095
3113;3243;3173;3193
3648;3841;3803;3791
3788;3971;4095;4095
3765;3985;4095;4095
3760;3965;4080;4095
2944;3056;2966;2990
3102;3239;3201;3218
3776;4011;4095;4095
3789;4011;4095;4095
3761;3975;4095;4095
3756;3991;4095;4095
3771;3998;4095;4095
3771;4000;4095;4095
3778;3998;4095;4095
3770;4006;4095;4095
3783;3984;4095;4095
3753;3988;4095;4095
3768;4006;4095;4095
3775;3995;4095;4095
3773;3985;4095;4095
3769;3949;4095;4095
3773;3991;4095;4095
3759;3984;4095;4095
3765;3991;4095;4095
3768;3999;4095;4095
3751;3997;4095;4095
3753;4001;4095;4095
3776;3984;4095;4095
3764;3985;4095;4095
3758;3993;4095;4095
3760;3972;4095;4095
3765;3995;4095;4095
3763;4002;4095;4095
3762;3985;4095;4095
3767;3984;4095;4095
3762;3994;4095;4095
3793;3986;4095;4095
3771;3988;4095;4095
3744;4000;4095;4095
3760;3986;4095;4095
3750;4001;4095;4095
3760;3982;4095;4095
3744;3984;4095;4095
3753;3982;4095;4095
3743;4001;4095;4095
3741;3992;4095;4095
3760;3994;4095;4095
3758;3986;4095;4095
3760;3979;4095;4095
3771;3983;4095;4095
3762;3970;4095;4095
3754;3981;4095;4095
3761;3966;4095;4095
3755;3988;4095;4095
3751;4001;4095;4095
3759;3985;4095;4095
3734;4001;4095;4095
3770;3977;4095;4095
3759;3989;4095;4095
3748;3983;4095;4095
3759;3973;4095;4095
3746;3984;4095;4095
3759;3975;4095;4095
3759;3982;4095;4095
3760;3987;4095;4095
3755;3990;4095;4095
3747;3989;4095;4095
3760;3984;4095;4095
3774;3973;4095;4095
3760;3981;4095;4095
3762;3984;4095;4095
3759;3994;4095;4095
3770;3997;4095;4095
3753;3986;4095;4095
3760;3978;4095;4095
3773;3971;4095;4095
3724;3972;4095;4095
3785;3990;4095;4095
3785;3956;4095;4095
3780;3999;4095;4095
3767;3986;4095;4095
3788;4007;4095;4095
3775;4005;4095;4095
3775;4016;4095;4095
3771;3995;4095;4095
3774;3999;4095;4095
3758;3984;4095;4095
3787;4002;4095;4095
3787;4015;4095;4095
3777;4007;4095;4095
3773;3995;4095;4095
3793;4007;4095;4095
3790;4005;4095;4095
3769;4010;4095;4095
3769;4013;4095;4095
3791;4000;4095;4095
3776;3974;4095;4095
3786;3989;4095;4095
3763;4001;4095;4095
3770;4015;4095;4095
3760;4005;4095;4095
3774;3999;4095;4095
3765;3999;4095;4095
3776;3990;4095;4095
3775;4007;4095;4095
3778;3999;4095;4095
3778;3998;4095;4095
3775;4005;4095;4095
3764;4016;4095;4095
3775;3991;4095;4095
3766;4006;4095;4095
3768;4002;4095;4095
3760;4002;4095;4095
3775;3995;4095;4095
3760;4003;4095;4095
3782;4003;4095;4095
3793;3991;4095;4095
3775;3999;4095;4095
3788;4007;4095;4095
3787;3988;4095;4095
3787;4013;4095;4095
3792;4016;4095;4095
3761;3990;4095;4095
3775;3984;4095;4095
3779;4001;4095;4095
3781;4005;4095;4095
3805;3990;4095;4095
3783;4007;4095;4095
3775;3985;4095;4095
3770;4007;4095;4095
3774;4013;4095;4095
3778;3984;4095;4095
3776;4013;4095;4095
3782;4008;4095;4095
3780;3995;4095
